Homestudy_libraryid,HomeStudy_courseid_fk,Dateadded,Credit_id_fk,memberid_fk,Subscriberfree
2155,32,2015-02-26 00:00:00.000,0,EA11FA99-EDD3-72B8-46B3-13E7CD31EB23,1
2156,32,2015-02-26 00:00:00.000,0,7B0B5857-F7C5-9539-72A9-C4DD85CE3F92,1
2157,32,2015-02-26 00:00:00.000,0,E616C397-B664-8A10-F569-4951F9BDF1EA,1
2158,32,2015-02-26 00:00:00.000,0,114927D8-91F3-F373-092B-6CE931774F83,1
2159,32,2015-02-26 00:00:00.000,0,2778330A-BC33-AD62-3F86-3CCEA9E31BD4,1
2160,32,2015-02-26 00:00:00.000,0,71B104B2-F224-A728-8FE0-C86C48F42896,1
2161,32,2015-02-26 00:00:00.000,0,1B706D05-E726-B33E-98E1-410637A5F017,1
2162,32,2015-02-26 00:00:00.000,0,AC33BE8B-0A52-4709-E440-4891E5948392,1
2163,32,2015-02-26 00:00:00.000,0,6D94E083-92DB-A1C4-A0D3-B5D51C94354D,1
2164,32,2015-02-26 00:00:00.000,0,BE537B7D-EFAE-CC02-5852-39AB0D7DB635,1
2165,32,2015-02-26 00:00:00.000,0,81161062-EC73-9C85-3B54-8DD52E641047,1
2166,32,2015-02-26 00:00:00.000,0,7EEAB7CB-9C65-2F93-3BF4-F76602825719,1
2167,32,2015-02-26 00:00:00.000,0,3CD7D0C1-91C1-5628-487E-2303DC7C27DD,1
2168,32,2015-02-26 00:00:00.000,0,24084518-F66B-F62F-F2B0-87D008E0A30C,1
2169,34,2015-02-26 00:00:00.000,0,81161062-EC73-9C85-3B54-8DD52E641047,1
2170,32,2015-02-26 00:00:00.000,0,8283B184-A895-1161-511A-B4031F4DFBF9,1
2171,34,2015-02-26 00:00:00.000,0,8283B184-A895-1161-511A-B4031F4DFBF9,1
2172,32,2015-02-26 00:00:00.000,0,FFE32C19-087E-5717-4612-3829D154C125,1
2173,32,2015-02-26 00:00:00.000,0,612D7BB7-F0B7-48E6-5B1D-B748D815A6D5,1
2174,32,2015-02-26 00:00:00.000,0,BFC324EF-B1D6-EE05-1CB9-FB95AB898FDD,1
2175,32,2015-02-26 00:00:00.000,0,215B3FC1-A494-EE84-0445-C046CDD46F12,1
2176,34,2015-02-26 00:00:00.000,0,3B4CE86C-0438-BE22-5460-2E6E8E649F07,1
2177,32,2015-02-26 00:00:00.000,0,D69734CC-B871-1D48-5593-EC2783C01994,1
2178,7,2015-02-26 00:00:00.000,57018,02A490B7-012A-30AA-9768-9F0410EB13EE,0
2179,32,2015-02-27 00:00:00.000,0,F16BDD28-C210-2513-AD7A-F5FBD2BCB051,1
2180,32,2015-02-27 00:00:00.000,0,BBD8CD8F-DE1B-886F-AF5D-EB121D3D307D,1
2181,32,2015-02-27 00:00:00.000,0,011E2DDA-A94C-26D5-CFDB-9EED2A406945,1
